Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
3A	305300003A	305300003A:sector1	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	0	CTSDG-06513-XD_6_D	31	63	15	0	6	6									5003	31101	5003_31101	5	3	1009	1013	1023														GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
3A	305300003A	305300003A:sector2	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	120	CTSDG-06513-XD_8_D	30	63	14	0	8	8									25003	31101	25003_31101	3	2	1020	1004															GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
3A	305300003A	305300003A:sector3	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	240	CTSDG-06513-XD_8_D	31	63	14	0	8	8									45003	31101	45003_31101	3	2	1016	1006															GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
4F	305300004F	305300004F:sector1	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	30	K 742_215_5	25	68	7	0	5	5									5004	31101	5004_31101	7	3	666	660	696														GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
4F	305300004F	305300004F:sector2	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	140	K 742_215_4	25	68	7	0	4	4									25004	31101	25004_31101	2	4	705	683	643	662													GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
4F	305300004F	305300004F:sector3	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	270	K 742_215_4	27	68	7	0	4	4									45004	31101	45004_31101	4	2	648	698															GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
5D	305300005D	305300005D:sector1	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_495	21	64	7	0	2	2									5005	31101	5005_31101	7	2	713	649															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
5D	305300005D	305300005D:sector2	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_495	21	64	7	0	2	2									25005	31101	25005_31101	1	2	686	647															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
5D	305300005D	305300005D:sector3	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_495	21	64	7	0	2	2									45005	31101	45005_31101	7	2	653	664															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
6C	305300006C	305300006C:sector1	3361786	5704381	87	100	Kein MHA	TOC	not_defined	D1-Barring	1	30	ADFD1820-6565B-XD_4	27	61	7	0	4	4									5006	31101	5006_31101	3	2	694	674															GSM 1800	D (DCS1800)			Essen	Markt 6	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990024	On Air	?	-
